"TYPE","YEAR","MONTH","DAY","HOUR","MINUTE","HUNDRED_BLOCK","NEIGHBOURHOOD","X","Y"
"Mischief",2023,3,14,21,30,"28XX VENABLES ST","Hastings-Sunrise",496624.6272,5458214.6499
"Break and Enter Residential/Other",2023,4,11,11,0,"23XX W 8TH AVE","Kitsilano",488519.6555,5456902.2158
"Break and Enter Commercial",2023,7,5,19,0,"10XX HORNBY ST","Central Business District",490837.7786,5458569.647
"Vehicle Collision or Pedestrian Struck (with Injury)",2023,8,9,18,15,"E BROADWAY AVE / WOODLAND DR","Kensington-Cedar Cottage",494641,5456624
"Offence Against a Person",2023,8,10,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Offence Against a Person",2023,8,11,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Homicide",2023,9,10,0,0,"OFFSET TO PROTECT PRIVACY","Kensington-Cedar Cottage",0,0
"Vehicle Collision or Pedestrian Struck (with Injury)",2023,9,11,0,17,"10XX BLOCK BROUGHTON ST","West End",490270,5459188
"Offence Against a Person",2023,9,20,0,0,"OFFSET TO PROTECT PRIVACY","Kensington-Cedar Cottage",0,0
"Mischief",2023,9,29,16,0,"29XX E 22ND AVE","Renfrew-Collingwood",496921.5404,5455322.1063
"Theft of Bicycle",2023,9,29,19,20,"CAMBIE ST / W 7TH AVE","Fairview",491643.103,5456918.3636
"Mischief",2023,10,4,1,16,"10XX BURRARD ST","West End",490806.2772,5458701.6118
"Offence Against a Person",2023,10,10,0,0,"OFFSET TO PROTECT PRIVACY","Kensington-Cedar Cottage",0,0
"Theft from Vehicle",2023,10,11,15,0,"18XX E GEORGIA ST","Grandview-Woodland",495034.5431,5458409.185
"Theft of Bicycle",2023,10,13,0,0,"1XX E 1ST AVE","Mount Pleasant",492549.337,5457488.6151
"Vehicle Collision or Pedestrian Struck (with Fatality)",2023,10,31,15,22,"W 33RD AVE / ARBUTUS ST","Arbutus Ridge",488828,5454382
"Mischief",2023,11,7,19,0,"9XX KINGSWAY AVE","Kensington-Cedar Cottage",493799.9534,5455750.4866
"Theft of Bicycle",2023,12,22,8,0,"34XX NAIRN AVE","Killarney",497831.0898,5451431.2777
"Theft of Vehicle",2024,2,4,0,0,"24XX W 41ST AVE","Arbutus Ridge",488220.0477,5453561.7434
"Other Theft",2024,2,11,21,23,"12XX DAVIE ST","West End",490242.6338,5458856.48
"Break and Enter Commercial",2024,3,17,0,0,"10XX BROUGHTON ST","West End",490233.2324,5459143.9805
"Homicide",2024,4,12,0,0,"OFFSET TO PROTECT PRIVACY","Sunset",0,0
"Other Theft",2024,5,6,10,22,"4XX SW MARINE DR","Marpole",491555.6361,5450891.4319
"Theft of Vehicle",2024,5,20,0,15,"63XX FLEMING ST","Victoria-Fraserview",494682.7962,5452704.1813
"Theft from Vehicle",2024,6,9,5,0,"13XX E 17TH AVE","Kensington-Cedar Cottage",494340.632,5455839.3467
"Other Theft",2024,6,21,14,30,"16XX W 4TH AVE","Fairview",489668.8673,5457247.6606
"Homicide",2024,8,9,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Vehicle Collision or Pedestrian Struck (with Injury)",2024,9,24,11,30,"HELMCKEN ST / SEYMOUR ST","Central Business District",491008,5458315
"Theft of Bicycle",2024,10,12,0,0,"6XX STAMPS LAND","Fairview",491414.6939,5457326.5415
"Vehicle Collision or Pedestrian Struck (with Fatality)",2024,11,6,21,7,"23XX BLOCK VICTORIA DR","Grandview-Woodland",495207,5456799
"Vehicle Collision or Pedestrian Struck (with Injury)",2024,11,13,7,2,"KEEFER ST / MAIN ST","Central Business District",492745,5458530
"Vehicle Collision or Pedestrian Struck (with Fatality)",2024,11,29,23,28,"CARRALL ST / E CORDOVA ST","Central Business District",492416,5458858
"Break and Enter Residential/Other",2025,1,4,6,0,"41XX ATLIN ST","Renfrew-Collingwood",496658.6989,5454961.9153
"Offence Against a Person",2025,3,1,0,0,"OFFSET TO PROTECT PRIVACY","Grandview-Woodland",0,0
"Vehicle Collision or Pedestrian Struck (with Injury)",2025,3,19,18,49,"12XX BLOCK SE MARINE DR","Sunset",494038,5450923
"Mischief",2025,4,17,14,30,"2XX W 1ST AVE","Mount Pleasant",491871.3304,5457419.8614
"Vehicle Collision or Pedestrian Struck (with Injury)",2025,6,24,11,28,"W 41ST AVE / MANITOBA ST","Oakridge",492127,5453391
"Offence Against a Person",2025,6,25,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Mischief",2025,6,29,20,0,"84XX YUKON ST","Marpole",491623.3749,5450889.0338
"Other Theft",2025,7,5,19,0,"28XX MAIN ST","Mount Pleasant",492640.0137,5456351.5504
"Offence Against a Person",2025,7,15,0,0,"OFFSET TO PROTECT PRIVACY","Fairview",0,0
"Vehicle Collision or Pedestrian Struck (with Injury)",2025,7,15,12,50,"15XX BLOCK W 70TH AVE","Marpole",489740,5450648
"Other Theft",2025,7,19,20,0,"17XX BEACH AVE","West End",489615.8598,5459101.3916
"Vehicle Collision or Pedestrian Struck (with Injury)",2025,8,15,7,21,"HARO ST / THURLOW ST","West End",490842,5459023
"Theft from Vehicle",2025,8,28,19,30,"6XX HOMER ST","Central Business District",491743.9877,5458771.2913
"Vehicle Collision or Pedestrian Struck (with Fatality)",2025,9,9,9,40,"ANGUS DR / W 57TH AVE","Kerrisdale",489204,5451862
"Mischief",2025,10,10,16,15,"5X E 26TH AVE","Riley Park",492424.1058,5455041.3129
"Other Theft",2025,10,16,19,30,"E HASTINGS ST / PRINCESS AVE","Strathcona",493347.6087,5458719.8513
"Break and Enter Residential/Other",2025,10,17,22,0,"38XX CLARK DR","Kensington-Cedar Cottage",494316.5383,5455293.7863
"Mischief",2025,10,21,10,6,"9XX W GEORGIA ST","Central Business District",491249.6179,5459030.2409
"Mischief",2025,10,24,18,58,"4XX POWELL ST","Strathcona",493076.9353,5458937.3096
"Vehicle Collision or Pedestrian Struck (with Injury)",2025,11,7,13,43,"1XX KEEFER PL","Central Business District",492120,5458568
"Theft of Vehicle",2025,11,16,18,0,"16XX W 64TH AVE","Marpole",489538.8139,5451162.466
"Break and Enter Residential/Other",2026,1,16,1,8,"1XX KEEFER PL","Central Business District",492117.1624,5458563.9812
"Homicide",2026,1,20,0,0,"OFFSET TO PROTECT PRIVACY","Kensington-Cedar Cottage",0,0
"Theft from Vehicle",2026,2,24,2,58,"KEEFER ST / MAIN ST","Strathcona",492745.8373,5458530.0657
"Vehicle Collision or Pedestrian Struck (with Injury)",2026,3,4,12,14,"VINE ST / W BROADWAY AVE","Kitsilano",488530,5456804
"Vehicle Collision or Pedestrian Struck (with Injury)",2026,3,20,10,56,"W 42ND AVE / OAK ST","Oakridge",490673,5453366
"Break and Enter Commercial",2026,5,10,20,35,"10XX EXPO BLVD","Central Business District",491544.5157,5458009.7425
